alt,vel,radiance,force,year,month,day,lattitude,longitude,X,Y,energy
50.0,,1.46e+11,0.42,2016,4,24,-42.8,9.8,-4764474.20595,1096289.52884,146000.0
31.5,17.1,2.24e+11,0.62,2016,4,18,-14.5,20.7,-1614132.6165,2356142.53123,224000.0
,,20000000000.0,0.073,2016,4,12,162.2,38.3,18056021.4067,4621892.86706,20000.0
35.2,15.1,6.55e+11,1.6,2016,4,10,149.0,22.0,16586604.1282,2511525.23485,655000.0
42.0,13.3,32000000000.0,0.11,2016,3,16,-6.3,-49.2,-701312.791998,-6308865.59708,32000.0
31.8,11.7,58000000000.0,0.19,2016,3,3,51.0,-48.0,5677294.03046,-6106854.83489,58000.0
44.0,17.9,35000000000.0,0.12,2016,2,23,67.2,32.3,7480669.78131,3802755.03186,35000.0
32.0,,3.69e+11,0.96,2016,2,21,-37.2,36.5,-4141085.05751,4369640.51065,369000.0
39.4,15.5,2.02e+11,0.56,2016,2,19,-11.6,0.7,-1291306.0932,77925.5821411,202000.0
31.0,15.6,6.853e+12,13.0,2016,2,6,-25.5,-30.4,-2838647.01523,-3555070.43384,6853000.0
37.0,11.5,50000000000.0,0.16,2016,1,27,53.6,-45.8,5966724.70652,-5748356.8016,50000.0
42.5,18.1,46000000000.0,0.15,2016,1,21,0.7,-10.8,77923.6435553,-1209433.84222,46000.0
39.0,,22000000000.0,0.079,2015,12,30,-160.7,33.8,-17889042.1705,4001978.42356,22000.0
42.2,12.1,83000000000.0,0.26,2015,12,21,143.0,5.9,15918687.1834,657948.810925,83000.0
38.0,,1.97e+11,0.55,2015,12,8,150.5,-69.9,16753583.3644,-11036245.7898,197000.0
28.0,,1.02e+11,0.31,2015,11,13,124.3,16.0,13837012.7056,1804722.76626,102000.0
37.0,,78000000000.0,0.24,2015,11,2,33.0,-41.4,3673543.19618,-5071521.81143,78000.0
71.0,,97000000000.0,0.29,2015,10,31,-138.0,9.0,-15362089.7295,1006021.06276,97000.0
38.9,12.9,23000000000.0,0.082,2015,10,13,-52.5,-8.0,-5844273.26665,-893463.751013,23000.0
,,30000000000.0,0.1,2015,10,11,-18.8,-55.4,-2092806.42691,-7439888.19571,30000.0
51.8,11.8,36000000000.0,0.12,2015,10,10,-21.1,-51.0,-2348841.25574,-6621293.72274,36000.0
36.1,,44000000000.0,0.15,2015,10,4,-171.6,22.0,-19102424.6201,2511525.23485,44000.0
,,98000000000.0,0.3,2015,9,17,94.9,-43.1,10564219.6763,-5327205.27427,98000.0
,,70000000000.0,0.22,2015,9,14,-15.2,5.8,-1692056.26006,646758.583284,70000.0
44.4,16.1,20000000000.0,0.073,2015,9,8,29.9,6.3,3328452.77472,702730.254771,20000.0
29.3,21.0,1.798e+12,3.9,2015,9,7,98.9,14.5,11009497.6395,1631643.46701,1798000.0
39.8,24.1,37000000000.0,0.13,2015,9,2,40.2,39.1,4475043.52989,4736005.85382,37000.0
22.0,17.8,23000000000.0,0.082,2015,7,19,-87.6,20.6,-9751587.39349,2344246.27107,23000.0
41.0,,22000000000.0,0.079,2015,7,12,159.6,31.0,17766590.7306,3632749.14338,22000.0
46.3,49.0,56000000000.0,0.18,2015,7,4,103.1,38.6,11477039.5008,4664535.89376,56000.0
32.4,31.9,71000000000.0,0.22,2015,6,14,124.1,6.3,13814748.8074,702730.254771,71000.0
43.5,,1.76e+11,0.5,2015,6,12,-32.1,-1.3,-3573355.65446,-144727.756288,176000.0
61.1,,3.84e+11,1.0,2015,6,10,-161.9,-11.5,-18022625.5594,-1288857.1805,384000.0
,,3.8e+11,0.99,2015,6,2,-142.7,-6.4,-15885291.3362,-713930.923465,380000.0
32.4,,36000000000.0,0.12,2015,5,20,172.6,1.0,19213744.1109,111325.142866,36000.0
29.0,,43000000000.0,0.14,2015,5,18,139.1,32.4,15484541.1693,3815932.13279,43000.0
29.6,12.2,1.43e+11,0.42,2015,5,10,-179.3,-46.3,-19959584.6992,-5828555.45722,143000.0
37.0,17.3,52000000000.0,0.17,2015,5,7,-29.3,-21.5,-3261661.08024,-2451599.08738,52000.0
26.7,12.9,1.05e+11,0.32,2015,4,30,139.1,-48.7,15484541.1693,-6224110.13166,105000.0
37.4,21.3,88000000000.0,0.27,2015,4,21,-39.6,37.7,-4408251.83541,4537132.13004,88000.0
,,65000000000.0,0.21,2015,4,10,8.2,-42.8,912819.824505,-5281579.18459,65000.0
36.3,19.2,1.73e+11,0.49,2015,4,8,51.5,-25.5,5732953.77585,-2937284.43742,173000.0
,,42000000000.0,0.14,2015,4,3,-157.9,8.4,-17577347.5963,938451.586757,42000.0
33.1,13.8,64000000000.0,0.2,2015,3,30,-5.5,-36.1,-612257.199363,-4314389.95633,64000.0
50.0,,1.21e+11,0.36,2015,3,18,159.3,-5.4,17733194.8834,-602017.161893,121000.0
35.2,19.9,72000000000.0,0.23,2015,3,11,119.1,8.0,13258151.3535,893463.751013,72000.0
,,20000000000.0,0.073,2015,3,8,-118.6,-39.1,-13202491.6081,-4736005.85382,20000.0
39.8,18.0,55000000000.0,0.18,2015,3,4,88.1,-15.9,9807247.13889,-1793145.0969,55000.0
33.7,21.1,1.88e+11,0.53,2015,2,26,-149.0,68.0,-16586604.1282,10446997.3148,188000.0
42.0,,58000000000.0,0.19,2015,2,25,-122.4,12.4,-13625505.6731,1391265.16215,58000.0
39.0,28.8,33000000000.0,0.11,2015,2,17,-11.2,-8.0,-1246778.29688,-893463.751013,33000.0
,,22000000000.0,0.079,2015,1,9,-49.2,-23.3,-5476918.94703,-2668339.10575,22000.0
36.0,17.5,1.39e+11,0.41,2015,1,9,28.8,2.0,3206001.33485,222684.208506,139000.0
45.5,35.7,1.36e+11,0.4,2015,1,7,26.9,45.7,2994494.30234,5732403.65505,136000.0
38.1,18.1,20000000000.0,0.073,2015,1,2,140.0,-31.1,15584728.7111,-3645742.868,20000.0
26.3,12.0,33000000000.0,0.11,2014,12,12,144.9,33.5,16130194.2159,3961860.21745,33000.0
26.3,,78000000000.0,0.24,2014,12,9,96.3,76.6,10720066.9634,13659078.5453,78000.0
26.1,13.4,7e+11,1.7,2014,11,28,-172.7,-45.8,-19224876.06,-5748356.8016,700000.0
38.0,,55000000000.0,0.18,2014,11,27,-73.4,-18.8,-8170850.62423,-2131403.24765,55000.0
23.3,25.3,1.18e+11,0.35,2014,11,26,-179.7,-69.5,-20004112.4956,-10907895.7389,118000.0
37.0,19.9,1.05e+11,0.32,2014,11,26,-24.0,-68.2,-2671667.77904,-10506688.4103,105000.0
22.2,16.0,1.56e+11,0.45,2014,11,4,115.8,43.1,12890797.0339,5327205.27427,156000.0
,,34000000000.0,0.12,2014,10,21,-132.9,22.2,-14794360.3264,2535554.61985,34000.0
39.0,,72000000000.0,0.23,2014,10,17,-66.3,-4.6,-7380482.23959,-512620.654063,72000.0
27.2,16.9,29000000000.0,0.1,2014,10,14,119.2,-2.0,13269283.3026,-222684.208506,29000.0
,,39000000000.0,0.13,2014,10,6,85.7,-43.7,9540080.36098,-5419133.25936,39000.0
32.5,,28000000000.0,0.098,2014,9,9,137.2,3.2,15273034.1368,356407.708114,28000.0
,,35000000000.0,0.12,2014,9,5,-150.0,22.7,-16697923.619,2595778.80431,35000.0
,,26000000000.0,0.092,2014,8,29,-49.9,-6.2,-5554842.59058,-691531.744085,26000.0
,,34000000000.0,0.12,2014,8,28,-45.4,3.2,-5053904.88201,356407.708114,34000.0
22.2,16.2,3.819e+12,7.6,2014,8,23,132.6,-61.7,14760964.4792,-8788355.47276,3819000.0
,,73000000000.0,0.23,2014,7,29,-172.2,-49.2,-19169216.3146,-6308865.59708,73000.0
,,53000000000.0,0.17,2014,7,29,-115.9,-33.9,-12901928.9829,-4015382.36007,53000.0
26.3,12.4,2.45e+11,0.67,2014,6,28,141.2,18.9,15718312.1,2143166.06582,245000.0
28.5,11.2,61000000000.0,0.2,2014,6,26,93.4,-71.5,10397240.4401,-11575440.0301,61000.0
28.7,,58000000000.0,0.19,2014,5,29,-131.1,21.9,-14593985.243,2499523.26607,58000.0
30.8,18.0,1.36e+11,0.4,2014,5,16,-95.9,-39.4,-10675539.1671,-4779131.18123,136000.0
44.0,16.5,3.09e+11,0.82,2014,5,16,-176.2,-44.2,-19614494.2778,-5496444.98988,309000.0
35.4,19.0,1.05e+12,2.4,2014,5,8,87.3,-36.9,9718191.54625,-4425177.22787,1050000.0
30.7,16.3,39000000000.0,0.13,2014,3,29,121.5,-28.7,13525318.1314,-3337517.88703,39000.0
30.5,,5.4e+11,1.3,2014,3,18,-111.8,0.0,-12445519.0707,-7.08115455161e-10,540000.0
,,94000000000.0,0.29,2014,3,3,-94.9,-29.0,-10564219.6763,-3375646.03492,94000.0
,,26000000000.0,0.092,2014,2,18,-61.5,-32.8,-6846148.68379,-3868787.2981,26000.0
25.0,,6.3e+11,1.5,2014,2,13,-110.7,13.3,-12323067.6308,1494027.45642,630000.0
29.6,,1.4e+11,0.41,2014,1,15,141.8,-18.5,15785103.7945,-2096156.53847,140000.0
37.0,16.2,78000000000.0,0.24,2014,1,12,64.4,2.9,7168975.20709,322964.449559,78000.0
18.7,44.8,31000000000.0,0.11,2014,1,8,147.6,-1.3,16430756.8411,-144727.756288,31000.0
34.3,15.1,1.47e+11,0.43,2013,12,23,2.0,39.5,222638.981587,4793547.4591,147000.0
23.5,11.8,64000000000.0,0.2,2013,12,8,-165.1,32.8,-18378847.93,3868787.2981,64000.0
59.3,12.4,75000000000.0,0.23,2013,11,21,35.3,44.7,3929578.025,5574415.62666,75000.0
22.2,12.8,1.61e+12,3.5,2013,10,12,-25.0,-19.1,-2782987.26983,-2166712.83975,1610000.0
40.7,,1.6e+11,0.46,2013,9,24,-164.7,-10.3,-18334320.1337,-1152816.82575,160000.0
66.6,,44000000000.0,0.15,2013,8,12,118.2,-34.4,13157963.8118,-4082639.55014,44000.0
29.1,17.8,69000000000.0,0.22,2013,7,31,137.1,-31.8,15261902.1878,-3737086.05624,69000.0
25.6,18.8,3.9e+11,1.0,2013,7,30,90.2,-50.2,10041018.0696,-6480984.63295,390000.0
26.5,22.1,1.2e+11,0.36,2013,7,27,156.2,0.3,17388104.4619,33395.9998334,120000.0
37.0,,20000000000.0,0.073,2013,7,26,-178.5,21.0,-19870529.1066,2391878.58794,20000.0
28.9,,34000000000.0,0.12,2013,6,1,138.4,-65.6,15406617.5258,-9768218.7182,34000.0
,,20000000000.0,0.073,2013,5,14,76.4,-3.0,8504809.09661,-334111.171402,20000.0
21.2,12.1,5.11e+12,10.0,2013,4,30,-30.7,35.5,-3417508.36735,4232038.4624,5110000.0
40.7,14.9,1.066e+12,2.5,2013,4,21,-64.6,-28.1,-7191239.10525,-3261587.36184,1066000.0
26.0,,29000000000.0,0.1,2013,3,12,17.1,-32.7,1903563.29256,-3855551.34651,29000.0
,13.6,32000000000.0,0.1,2013,2,20,-38.8,-23.0,-4319196.24278,-2632018.63759,32000.0
23.3,18.6,3.75e+14,440.0,2013,2,15,61.1,54.8,6801620.88747,7323146.54458,375000000.0
,,65000000000.0,0.21,2013,2,7,-158.6,-18.8,-17655271.2398,-2131403.24765,65000.0
,,3.4e+12,6.9,2013,1,25,-64.6,60.3,-7191239.10525,8466834.60349,3400000.0
36.1,,48000000000.0,0.16,2013,1,12,-155.6,-15.1,-17321312.7674,-1700727.48283,48000.0
,,1.98e+11,0.55,2012,12,30,-83.6,17.3,-9306309.43032,1955774.9437,198000.0
33.3,14.3,25000000000.0,0.089,2012,11,20,29.6,2.5,3295056.92748,278387.075954,25000.0
,,1.2e+11,0.36,2012,11,20,-86.0,-8.0,-9573476.20822,-893463.751013,120000.0
29.3,13.2,23000000000.0,0.082,2012,10,19,49.6,-75.4,5521446.74335,-13106567.7049,23000.0
27.8,13.5,2.1e+11,0.58,2012,10,9,-84.6,51.2,-9417628.92111,6656747.94877,210000.0
,17.0,2.8e+11,0.75,2012,10,3,-21.9,-41.5,-2437896.84837,-5086373.64929,280000.0
35.0,15.4,4.7e+11,1.2,2012,10,2,-111.9,-8.1,-12456651.0198,-904706.484759,470000.0
,,38000000000.0,0.13,2012,9,28,73.7,-6.9,8204246.47146,-769967.861993,38000.0
28.1,18.3,2.44e+11,0.67,2012,9,18,-52.2,1.2,-5810877.41941,133593.156062,244000.0
,,52000000000.0,0.17,2012,9,11,105.2,-18.9,11710810.4315,-2143166.06582,52000.0
23.8,16.9,23000000000.0,0.082,2012,9,10,-111.7,-69.8,-12434387.1216,-11003930.4122,23000.0
38.7,28.9,68000000000.0,0.22,2012,8,27,64.2,-18.3,7146711.30893,-2072693.08098,68000.0
36.0,12.7,2.49e+11,0.68,2012,8,26,117.0,11.8,13024380.4228,1322955.51518,249000.0
27.2,,34000000000.0,0.12,2012,7,27,172.3,63.1,19180348.2637,9124813.23625,34000.0
26.8,18.5,1.33e+11,0.39,2012,7,25,41.5,36.4,4619758.86792,4355801.26497,133000.0
,,60000000000.0,0.19,2012,5,25,-36.2,-41.8,-4029765.56672,-5131067.33564,60000.0
33.3,17.1,1.32e+11,0.39,2012,5,15,-135.5,-61.8,-15083791.0025,-8811874.37774,132000.0
,,2.29e+11,0.63,2012,5,4,-10.6,76.7,-1179986.60241,13707290.123,229000.0
25.2,,44000000000.0,0.15,2012,4,23,107.4,36.2,11955713.3112,4328176.0753,44000.0
,,1.43e+11,0.42,2012,4,21,-174.8,-15.8,-19458646.9907,-1781573.18219,143000.0
,,30000000000.0,0.1,2012,4,19,16.8,5.5,1870167.44533,613199.66335,30000.0
,,32000000000.0,0.11,2012,4,2,-95.2,28.1,-10597615.5235,3261587.36184,32000.0
25.0,11.8,99000000000.0,0.3,2012,3,12,139.8,2.5,15562464.8129,278387.075954,99000.0
20.4,,1.01e+11,0.31,2012,3,3,2.7,7.8,300562.625142,870986.520129,101000.0
,,22000000000.0,0.079,2012,3,1,-29.8,46.9,-3317320.82564,5925766.77484,22000.0
,,37000000000.0,0.13,2012,2,24,30.8,-22.7,3428640.31643,-2595778.80431,37000.0
45.6,,1.54e+11,0.44,2012,2,17,-39.9,-3.2,-4441647.68265,-356407.708114,154000.0
61.0,,1.4e+11,0.41,2012,2,12,54.9,-31.7,6111440.04455,-3723995.0673,140000.0
34.2,12.2,1.5e+11,0.43,2012,2,4,0.1,32.4,11131.9490793,3815932.13279,150000.0
26.3,12.3,21000000000.0,0.076,2012,1,15,109.9,-64.1,12234012.0382,-9375203.62214,21000.0
,,85000000000.0,0.26,2012,1,11,88.5,32.2,9851774.9352,3789592.4619,85000.0
36.1,,1.35e+11,0.4,2011,12,19,52.6,-30.2,5855405.21573,-3529283.97111,135000.0
32.4,,50000000000.0,0.16,2011,12,14,89.6,-62.9,9974226.37508,-9075772.57008,50000.0
,,23000000000.0,0.082,2011,11,20,116.3,-27.9,12946456.7793,-3236371.91754,23000.0
,,36000000000.0,0.12,2011,10,12,-78.4,-26.4,-8727448.07819,-3048707.59733,36000.0
21.3,16.7,67000000000.0,0.21,2011,9,13,-13.8,-19.9,-1536208.97295,-2261188.3093,67000.0
,,27000000000.0,0.095,2011,8,31,-5.1,18.6,-567729.403046,2107898.52798,27000.0
,,23000000000.0,0.082,2011,8,20,-2.8,-27.2,-311694.574221,-3148481.4044,23000.0
63.0,,28000000000.0,0.098,2011,8,4,-86.7,-40.7,-9651399.85178,-4968191.93019,28000.0
29.6,,44000000000.0,0.15,2011,7,27,63.5,-45.3,7068787.66537,-5668874.64168,44000.0
40.7,,65000000000.0,0.21,2011,7,5,139.7,29.1,15551332.8638,3388379.96137,65000.0
,,29000000000.0,0.1,2011,7,4,175.0,-51.7,19480910.8888,-6746062.31756,29000.0
40.5,,24000000000.0,0.086,2011,6,16,-21.4,67.3,-2382237.10298,10242060.7886,24000.0
59.0,11.6,2.28e+12,4.8,2011,5,25,14.0,4.1,1558472.87111,456799.928502,2280000.0
,,20000000000.0,0.073,2011,5,16,92.8,-1.2,10330448.7456,-133593.156062,20000.0
28.7,,2.2e+11,0.61,2011,4,27,-126.6,1.4,-14093047.5344,155862.797533,220000.0
22.2,12.7,1.48e+11,0.43,2011,4,6,-43.5,71.1,-4842397.84951,11436551.505,148000.0
59.0,,58000000000.0,0.19,2011,3,24,-127.5,0.6,-14193235.0761,66792.9152643,58000.0
,,22000000000.0,0.079,2011,3,23,-85.6,-16.8,-9528948.4119,-1897556.23241,22000.0
30.6,11.9,37000000000.0,0.13,2011,3,1,103.9,53.5,11566095.0934,7076025.27618,37000.0
44.4,18.0,39000000000.0,0.13,2011,2,21,43.7,26.3,4864661.74767,3036284.92331,39000.0
,,20000000000.0,0.073,2011,2,12,-95.3,7.8,-10608747.4726,870986.520129,20000.0
61.0,,72000000000.0,0.23,2011,1,21,-44.6,18.9,-4964849.28938,2143166.06582,72000.0
48.0,,29000000000.0,0.1,2011,1,8,-125.8,33.3,-14003991.9418,3935191.98211,29000.0
26.0,18.1,2e+13,33.0,2010,12,25,158.0,38.0,17588479.5453,4579425.81287,20000000.0
24.0,,39000000000.0,0.13,2010,12,14,175.5,-4.9,19536570.6342,-546131.633351,39000.0
66.0,,63000000000.0,0.2,2010,12,9,-169.7,-54.5,-18890917.5876,-7265424.81854,63000.0
33.3,,1.33e+11,0.39,2010,12,1,144.9,-72.5,16130194.2159,-11935768.7024,133000.0
50.0,,81000000000.0,0.25,2010,11,21,143.3,1.9,15952083.0307,211545.807785,81000.0
30.0,,33000000000.0,0.11,2010,11,19,148.8,-10.3,16564340.23,-1152816.82575,33000.0
,,68000000000.0,0.22,2010,11,10,-77.7,74.5,-8649524.43464,12720615.4722,68000.0
37.0,,86000000000.0,0.27,2010,11,9,-16.7,-56.3,-1859035.49625,-7618370.45225,86000.0
26.0,,20000000000.0,0.073,2010,11,9,-160.0,-14.0,-17811118.5269,-1574216.54816,20000.0
35.2,,1.45e+11,0.42,2010,10,27,67.7,-14.1,7536329.5267,-1585691.78939,145000.0
,,50000000000.0,0.16,2010,9,24,-50.6,-67.4,-5632766.23414,-10270967.4174,50000.0
,,67000000000.0,0.21,2010,9,18,36.7,7.4,4085425.31211,826064.010185,67000.0
46.3,,65000000000.0,0.21,2010,9,8,-65.5,-13.9,-7291426.64696,-1562746.29941,65000.0
35.2,,6.83e+11,1.7,2010,9,5,49.0,-25.9,5454655.04887,-2986700.77762,683000.0
33.3,12.3,1.75e+12,3.8,2010,9,3,146.7,-61.0,16330569.2994,-8625823.2002,1750000.0
33.3,,21000000000.0,0.076,2010,8,17,-114.3,20.7,-12723817.7977,2356142.53123,21000.0
,,24000000000.0,0.086,2010,7,15,-178.1,60.9,-19826001.3103,8602897.77629,24000.0
26.0,15.7,7.56e+12,14.0,2010,7,6,-174.5,-34.1,-19425251.1434,-4042237.49968,7560000.0
50.0,,1.13e+11,0.34,2010,6,26,133.2,-0.5,14827756.1737,-55660.4518654,113000.0
,,1.63e+11,0.47,2010,6,21,-120.9,-22.5,-13458526.4369,-2571663.04717,163000.0
42.0,,1.19e+11,0.35,2010,6,17,100.0,-26.1,11131949.0793,-3011471.65248,119000.0
,,56000000000.0,0.18,2010,4,17,-173.0,13.1,-19258271.9072,1471159.34512,56000.0
22.2,18.8,8.44e+11,2.0,2010,4,16,-176.9,1.8,-19692417.9213,200408.051943,844000.0
,,80000000000.0,0.25,2010,4,6,-146.5,52.8,-16308305.4012,6946088.6794,80000.0
,,1.75e+11,0.5,2010,3,18,-51.8,-32.4,-5766349.62309,-3815932.13279,175000.0
35.6,,42000000000.0,0.14,2010,3,14,-90.2,33.8,-10041018.0696,4001978.42356,42000.0
53.0,,30000000000.0,0.1,2010,3,8,110.1,18.2,12256275.9363,2060971.5257,30000.0
52.0,24.5,3.23e+11,0.85,2010,3,8,-92.9,32.0,-10341580.6947,3763310.62714,323000.0
37.0,15.1,1.53e+11,0.44,2010,2,28,21.0,48.7,2337709.30666,6224110.13166,153000.0
,,2.37e+11,0.65,2010,2,26,-166.0,-37.3,-18479035.4717,-4481005.82293,237000.0
,,93000000000.0,0.28,2010,2,24,-102.2,-2.6,-11376851.9591,-289530.060502,93000.0
25.0,14.0,4.92e+11,1.2,2010,1,15,27.0,-8.3,3005626.25142,-927200.366948,492000.0
20.7,,1.02e+11,0.31,2009,12,31,-178.3,37.9,-19848265.2084,4565308.78236,102000.0
,,64000000000.0,0.2,2009,11,25,136.5,-52.8,15195110.4933,-6946088.6794,64000.0
38.0,32.1,1e+13,18.0,2009,11,21,29.2,-22.0,3250529.13116,-2511525.23485,10000000.0
31.5,,7.36e+11,1.8,2009,11,18,-113.2,40.4,-12601366.3578,4924240.58721,736000.0
,,22000000000.0,0.079,2009,11,7,-157.7,45.5,-17555083.6981,5700582.7324,22000.0
37.0,,42000000000.0,0.14,2009,11,7,64.1,24.0,7135579.35985,2753408.10936,42000.0
27.8,,71000000000.0,0.22,2009,10,11,70.2,-78.3,7814628.25369,-14531321.6657,71000.0
19.1,19.2,2e+13,33.0,2009,10,8,120.6,-4.2,13425130.5897,-467961.143605,20000000.0
37.0,,89000000000.0,0.27,2009,9,27,-67.6,-36.0,-7525197.57763,-4300621.37204,89000.0
,,1.44e+11,0.42,2009,9,18,-29.5,7.7,-3283924.9784,859751.951886,144000.0
28.3,24.0,9.65e+11,2.3,2009,9,4,110.0,42.5,12245143.9873,5236173.78392,965000.0
34.0,12.2,2.8e+11,0.75,2009,8,23,18.3,-67.7,2037146.68152,-10358420.5186,280000.0
,,25000000000.0,0.089,2009,7,31,-121.9,8.9,-13569845.9277,994751.904321,25000.0
32.2,,7.27e+11,1.8,2009,7,16,-59.8,-24.4,-6656905.54944,-2802226.15699,727000.0
26.1,15.2,32000000000.0,0.11,2009,6,27,-12.6,-26.6,-1402625.584,-3073585.30461,32000.0
57.4,,33000000000.0,0.11,2009,6,18,-16.0,-23.7,-1781111.85269,-2716894.18102,33000.0
34.2,,2.81e+11,0.76,2009,6,9,-152.7,54.9,-16998486.2441,7342482.29019,281000.0
,,1.43e+11,0.42,2009,5,31,-121.0,19.7,-13469658.386,2237525.46792,143000.0
40.7,,1.4e+11,0.41,2009,5,4,-160.4,36.4,-17855646.3232,4355801.26497,140000.0
,,22000000000.0,0.079,2009,4,20,84.3,6.0,9384233.07387,669141.057044,22000.0
32.4,19.1,2.7e+11,0.73,2009,4,10,25.7,-44.7,2860910.91339,-5574415.62666,270000.0
,,50000000000.0,0.16,2009,2,20,-70.0,-64.9,-7792364.35553,-9582080.23285,50000.0
40.0,15.4,1.6e+12,3.5,2009,2,7,69.8,56.6,7770100.45737,7678797.81864,1600000.0
,,48000000000.0,0.16,2009,1,12,-44.3,47.8,-4931453.44214,6073646.22335,48000.0
26.5,,23000000000.0,0.082,2009,1,10,122.8,-64.0,13670033.4694,-9349764.17415,23000.0
21.1,24.1,35000000000.0,0.12,2008,12,24,-102.0,-68.9,-11354588.0609,-10719794.0194,35000.0
50.0,,2.16e+11,0.6,2008,12,12,-9.7,-7.0,-1079799.06069,-781182.214188,216000.0
34.8,23.7,1.46e+11,0.42,2008,11,24,146.1,-57.9,16263777.6049,-7946339.92962,146000.0
28.2,12.9,1.42e+11,0.41,2008,11,21,-109.9,53.1,-12234012.0382,7001516.67745,142000.0
35.2,22.4,25000000000.0,0.089,2008,11,18,75.9,-29.4,8449149.35121,-3426656.25037,25000.0
29.6,,2.22e+11,0.61,2008,11,9,112.7,14.5,12545706.6124,1631643.46701,222000.0
29.6,11.3,46000000000.0,0.15,2008,10,21,-165.6,32.8,-18434507.6754,3868787.2981,46000.0
21.4,,1.8e+11,0.51,2008,10,10,17.0,-57.3,1892431.34349,-7821684.88075,180000.0
38.9,13.3,3.95e+11,1.0,2008,10,7,31.4,20.9,3495432.01091,2379958.64292,395000.0
,,1.31e+11,0.38,2008,8,16,97.2,11.3,10820254.5051,1266145.1892,131000.0
